Zona;Especie de vertebrado;Condición;Familia;XY;Dermestes ater;Dermestes frischii;Dermestes maculatus;Necrobia rufipes;Notiobia peruviana;Paederus ornaticornis;Paraneda p. guticollis;Phaleria pacifica;Hypocaccus gaudens
Playa;Sula variegata;Seco o restos;Tenebrionidae;-86.44681666;0;0;4;0;0;0;0;340;4
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.44763333;0;27;0;0;0;0;0;354;0
Playa;Phalacrocorax brasilianus;Seco o restos;Dermestidae;-86.44763333;0;27;0;0;0;0;0;354;0
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.44763333;0;27;0;0;0;0;0;354;0
Playa;Otaria flavescens;Seco o restos;Tenebrionidae;-86.44761667;0;0;0;6;0;0;0;112;0
Playa;Otaria flavescens;Seco o restos;Cleridae;-86.44761667;0;0;0;6;0;0;0;112;0
Playa;Pelecanus thagus;Seco o restos;Histeridae;-86.44773334;0;0;0;0;0;0;0;16;4
Playa;Chelonia mydas;Seco o restos;Tenebrionidae;-86.45371667;0;72;36;0;0;0;0;6;192
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.44773334;0;0;0;0;0;0;0;16;4
Playa;Pelecanus thagus;Seco o restos;Histeridae;-86.45196667;0;0;0;0;0;0;0;8;24
Playa;Pelecanus thagus;Seco o restos;Tenebrionidae;-86.45196667;0;0;0;0;0;0;0;8;24
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.45396666;0;0;0;0;0;0;0;30;6
Playa;Phalacrocorax brasilianus;Seco o restos;Histeridae;-86.45396666;0;0;0;0;0;0;0;30;6
Playa;Delphinus sp.;Seco o restos;Tenebrionidae;-86.45323333;0;0;0;0;0;0;0;57;0
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.45355;0;0;0;0;0;0;0;56;0
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.45355;0;0;0;0;0;0;0;56;0
Playa;Phalacrocorax brasilianus;Seco o restos;Tenebrionidae;-86.45381667;0;0;0;0;0;2;0;108;4
